,species_name,coded_property_name,collapsed_data
86,Carex_atrofuscoides,maximum_plant_height,30cm
87,Carex_augustinowiczii,maximum_leaf_width,3mm
88,Carex_augustinowiczii,maximum_plant_height,50cm
89,Carex_austro-occidentalis,maximum_inflorescence_length,8mm
90,Carex_austro-occidentalis,maximum_leaf_width,
91,Carex_austro-occidentalis,maximum_plant_height,25cm
92,Carex_austrosinensis,maximum_inflorescence_length,4cm;1/2
93,Carex_austrosinensis,maximum_inflorescence_width,0.25cm
94,Carex_austrosinensis,maximum_leaf_width,3mm
95,Carex_austrosinensis,maximum_plant_height,45cm
96,Carex_austrozhejiangensis,maximum_leaf_width,12mm
97,Carex_austrozhejiangensis,maximum_plant_height,40cm
98,Carex_autumnalis,maximum_leaf_width,3mm
99,Carex_autumnalis,maximum_plant_height,70cm;60cm
100,Carex_baccans,maximum_inflorescence_length,1/2
101,Carex_baccans,maximum_leaf_width,12mm
102,Carex_baccans,maximum_plant_height,150cm
103,Carex_baimaensis,maximum_inflorescence_length,5cm
104,Carex_baimaensis,maximum_inflorescence_width,
105,Carex_baimaensis,maximum_leaf_width,5mm
106,Carex_baimaensis,maximum_plant_height,40cm
107,Carex_baiposhanensis,maximum_leaf_width,7mm
108,Carex_baiposhanensis,maximum_plant_height,50cm
109,Carex_baohuashanica,maximum_leaf_width,4mm
110,Carex_baohuashanica,maximum_plant_height,60cm
111,Carex_basilata,maximum_leaf_width,2mm
112,Carex_basilata,maximum_plant_height,40cm
113,Carex_benkei,maximum_inflorescence_length,
114,Carex_benkei,maximum_leaf_width,4mm
115,Carex_benkei,maximum_plant_height,60cm
116,Carex_bijiangensis,maximum_inflorescence_length,3cm
117,Carex_bijiangensis,maximum_inflorescence_width,0.9cm
118,Carex_bijiangensis,maximum_leaf_width,7mm
119,Carex_bijiangensis,maximum_plant_height,60cm
120,Carex_bilateralis,maximum_leaf_width,3mm
121,Carex_bilateralis,maximum_plant_height,60cm
122,Carex_blinii,maximum_leaf_width,5mm;7mm;7mm
123,Carex_blinii,maximum_plant_height,13cm
124,Carex_bodinieri,maximum_leaf_width,4mm
125,Carex_bodinieri,maximum_plant_height,100cm
126,Carex_bohemica,maximum_inflorescence_length,2cm
127,Carex_bohemica,maximum_inflorescence_width,2cm
128,Carex_bohemica,maximum_leaf_width,4mm
129,Carex_bohemica,maximum_plant_height,40cm
130,Carex_borealihinganica,maximum_leaf_width,4mm
131,Carex_borealihinganica,maximum_plant_height,50cm
132,Carex_bostrychostigma,maximum_leaf_width,4mm
133,Carex_bostrychostigma,maximum_plant_height,50cm
134,Carex_brachyathera,maximum_inflorescence_length,4.5cm
135,Carex_brachyathera,maximum_inflorescence_width,
136,Carex_brachyathera,maximum_leaf_width,2.5mm
137,Carex_brachyathera,maximum_plant_height,60cm
138,Carex_breviaristata,maximum_inflorescence_length,30mm;30mm
139,Carex_breviaristata,maximum_inflorescence_width,3mm;4mm
140,Carex_breviaristata,maximum_leaf_width,5mm
141,Carex_breviaristata,maximum_plant_height,35cm
142,Carex_breviculmis,maximum_inflorescence_length,15mm;15mm
143,Carex_breviculmis,maximum_inflorescence_width,3mm;4mm
144,Carex_breviculmis,maximum_leaf_width,5mm;3mm
145,Carex_breviculmis,maximum_plant_height,40cm
146,Carex_brevicuspis,maximum_inflorescence_length,7cm
147,Carex_brevicuspis,maximum_inflorescence_width,1cm
148,Carex_brevicuspis,maximum_leaf_width,10mm
149,Carex_brevicuspis,maximum_plant_height,55cm
150,Carex_breviscapa,maximum_inflorescence_length,45mm
151,Carex_breviscapa,maximum_inflorescence_width,1.5mm
152,Carex_breviscapa,maximum_leaf_width,7mm
153,Carex_breviscapa,maximum_plant_height,20cm
154,Carex_brownii,maximum_inflorescence_length,
155,Carex_brownii,maximum_leaf_width,4mm
156,Carex_brownii,maximum_plant_height,60cm
157,Carex_brunnea,maximum_leaf_width,3mm
158,Carex_brunnea,maximum_plant_height,70cm
159,Carex_burttii,maximum_leaf_width,3.5mm
160,Carex_burttii,maximum_plant_height,80cm
161,Carex_caespititia,maximum_inflorescence_length,22mm;20mm
162,Carex_caespititia,maximum_inflorescence_width,7mm
163,Carex_caespititia,maximum_leaf_width,4mm
164,Carex_caespititia,maximum_plant_height,20cm
165,Carex_caespitosa,maximum_inflorescence_length,25mm
166,Carex_caespitosa,maximum_inflorescence_width,5mm
167,Carex_caespitosa,maximum_leaf_width,3.5mm
168,Carex_caespitosa,maximum_plant_height,90cm
169,Carex_calcicola,maximum_inflorescence_length,1/2;11mm
170,Carex_calcicola,maximum_inflorescence_width,11mm
171,Carex_calcicola,maximum_leaf_width,1.1cm
172,Carex_calcicola,maximum_plant_height,60cm
173,Carex_callitrichos,maximum_inflorescence_width,
174,Carex_callitrichos,maximum_leaf_width,1mm;0.8mm
175,Carex_callitrichos,maximum_plant_height,6cm
176,Carex_canaliculata,maximum_leaf_width,6mm
177,Carex_canaliculata,maximum_plant_height,30cm
178,Carex_canescens,maximum_inflorescence_length,10mm
179,Carex_canescens,maximum_inflorescence_width,4mm
180,Carex_canescens,maximum_leaf_width,3mm
181,Carex_canescens,maximum_plant_height,50cm
182,Carex_capillacea,maximum_inflorescence_length,7mm;6mm
183,Carex_capillacea,maximum_leaf_width,1mm
184,Carex_capillacea,maximum_plant_height,40cm
185,Carex_capillaris,maximum_leaf_width,2mm
186,Carex_capillaris,maximum_plant_height,40cm
187,Carex_capilliculmis,maximum_inflorescence_width,
188,Carex_capilliculmis,maximum_leaf_width,2.5mm
189,Carex_capilliculmis,maximum_plant_height,20cm
190,Carex_capilliformis,maximum_inflorescence_length,14mm
191,Carex_capilliformis,maximum_inflorescence_width,
192,Carex_capilliformis,maximum_leaf_width,3mm
193,Carex_capilliformis,maximum_plant_height,10cm;50cm
194,Carex_capricornis,maximum_inflorescence_length,3cm
195,Carex_capricornis,maximum_inflorescence_width,2cm
196,Carex_capricornis,maximum_leaf_width,8mm
197,Carex_capricornis,maximum_plant_height,70cm
198,Carex_cardiolepis,maximum_inflorescence_width,
199,Carex_cardiolepis,maximum_leaf_width,2mm
200,Carex_cardiolepis,maximum_plant_height,40cm
201,Carex_caucasica,maximum_inflorescence_length,25mm;3cm
202,Carex_caucasica,maximum_inflorescence_width,6mm;0.8cm
203,Carex_caucasica,maximum_leaf_width,8mm;8mm;5mm
204,Carex_caucasica,maximum_plant_height,70cm
205,Carex_caudispicata,maximum_inflorescence_width,
206,Carex_caudispicata,maximum_leaf_width,5mm
207,Carex_caudispicata,maximum_plant_height,30cm;1.5mm
208,Carex_changmuensis,maximum_leaf_width,4mm
209,Carex_changmuensis,maximum_plant_height,40cm
210,Carex_chaofangii,maximum_inflorescence_length,3.5cm
211,Carex_chaofangii,maximum_inflorescence_width,
212,Carex_chaofangii,maximum_leaf_width,10mm
213,Carex_chaofangii,maximum_plant_height,35cm
214,Carex_cheniana,maximum_inflorescence_length,6cm
215,Carex_cheniana,maximum_inflorescence_width,0.8cm
216,Carex_cheniana,maximum_leaf_width,9mm
217,Carex_cheniana,maximum_plant_height,57cm
218,Carex_chinensis,maximum_leaf_width,9mm
219,Carex_chinensis,maximum_plant_height,55cm
220,Carex_chinganensis,maximum_leaf_width,1.5mm
221,Carex_chinganensis,maximum_plant_height,40cm
222,Carex_chiwuana,maximum_inflorescence_width,
223,Carex_chiwuana,maximum_leaf_width,5mm
224,Carex_chiwuana,maximum_plant_height,30cm
225,Carex_chlorocephalula,maximum_inflorescence_width,
226,Carex_chlorocephalula,maximum_leaf_width,3mm
227,Carex_chlorocephalula,maximum_plant_height,30cm
228,Carex_chlorostachys,maximum_leaf_width,2.5mm
229,Carex_chlorostachys,maximum_plant_height,50cm;30cm
230,Carex_chrysolepis,maximum_inflorescence_length,30mm;3cm
231,Carex_chrysolepis,maximum_inflorescence_width,0.8cm
232,Carex_chrysolepis,maximum_leaf_width,3mm
233,Carex_chrysolepis,maximum_plant_height,35cm
234,Carex_chuana,maximum_inflorescence_width,6mm
235,Carex_chuana,maximum_leaf_width,
236,Carex_chuana,maximum_plant_height,20cm
237,Carex_chui,maximum_leaf_width,1.5mm
238,Carex_chui,maximum_plant_height,20cm
239,Carex_chungii,maximum_inflorescence_length,20mm;35mm;60mm
240,Carex_chungii,maximum_inflorescence_width,3mm;3mm
241,Carex_chungii,maximum_leaf_width,3mm;2mm
242,Carex_chungii,maximum_plant_height,50cm
243,Carex_cinerascens,maximum_inflorescence_length,30mm
244,Carex_cinerascens,maximum_inflorescence_width,4mm
245,Carex_cinerascens,maximum_leaf_width,4mm
246,Carex_cinerascens,maximum_plant_height,60cm
247,Carex_commixta,maximum_inflorescence_length,7mm
248,Carex_commixta,maximum_inflorescence_width,3mm
249,Carex_commixta,maximum_leaf_width,2.5cm
250,Carex_commixta,maximum_plant_height,100cm
251,Carex_composita,maximum_inflorescence_length,
252,Carex_composita,maximum_leaf_width,3mm
253,Carex_composita,maximum_plant_height,60cm
254,Carex_confertiflora,maximum_leaf_width,12mm
255,Carex_confertiflora,maximum_plant_height,95cm
256,Carex_continua,maximum_leaf_width,8mm
257,Carex_continua,maximum_plant_height,90cm
258,Carex_coriophora,maximum_inflorescence_length,15mm;17mm
259,Carex_coriophora,maximum_inflorescence_width,4mm;10mm
260,Carex_coriophora,maximum_leaf_width,5mm
261,Carex_coriophora,maximum_plant_height,70cm
262,Carex_courtallensis,maximum_inflorescence_width,
263,Carex_courtallensis,maximum_leaf_width,2cm
264,Carex_courtallensis,maximum_plant_height,55cm;2mm
265,Carex_cranaocarpa,maximum_inflorescence_length,3.2cm
266,Carex_cranaocarpa,maximum_inflorescence_width,
267,Carex_cranaocarpa,maximum_leaf_width,3mm
268,Carex_cranaocarpa,maximum_plant_height,80cm
269,Carex_craspedotricha,maximum_inflorescence_length,15cm;10mm
270,Carex_craspedotricha,maximum_inflorescence_width,8mm
271,Carex_craspedotricha,maximum_leaf_width,3mm
272,Carex_craspedotricha,maximum_plant_height,55cm
273,Carex_crebra,maximum_leaf_width,1mm
274,Carex_crebra,maximum_plant_height,30cm;1.5mm
275,Carex_cremostachys,maximum_leaf_width,6mm
276,Carex_cremostachys,maximum_plant_height,90cm
277,Carex_cruciata,maximum_leaf_width,13mm
278,Carex_cruciata,maximum_plant_height,90cm
279,Carex_cruenta,maximum_leaf_width,4mm
280,Carex_cruenta,maximum_plant_height,75cm
281,Carex_cryptocarpa,maximum_inflorescence_length,8cm
282,Carex_cryptocarpa,maximum_inflorescence_width,1.2cm
283,Carex_cryptocarpa,maximum_leaf_width,10mm
284,Carex_cryptocarpa,maximum_plant_height,120cm
285,Carex_cryptostachys,maximum_leaf_width,15mm
286,Carex_cryptostachys,maximum_plant_height,30cm
287,Carex_curaica,maximum_inflorescence_length,2cm;7mm
288,Carex_curaica,maximum_inflorescence_width,
289,Carex_curaica,maximum_leaf_width,3.5mm
290,Carex_curaica,maximum_plant_height,38cm
291,Carex_cylindrostachys,maximum_inflorescence_length,
292,Carex_cylindrostachys,maximum_inflorescence_width,
293,Carex_cylindrostachys,maximum_leaf_width,3mm
294,Carex_cylindrostachys,maximum_plant_height,20cm;2mm
295,Carex_dahurica,maximum_inflorescence_length,7mm
296,Carex_dahurica,maximum_inflorescence_width,5mm
297,Carex_dahurica,maximum_leaf_width,1mm
298,Carex_dahurica,maximum_plant_height,20cm
299,Carex_dailingensis,maximum_inflorescence_length,1.8cm
300,Carex_dailingensis,maximum_leaf_width,3.5mm
301,Carex_dailingensis,maximum_plant_height,58cm
302,Carex_damiaoshanensis,maximum_leaf_width,5cm
303,Carex_damiaoshanensis,maximum_plant_height,40cm
304,Carex_davidii,maximum_inflorescence_length,40mm;40mm
305,Carex_davidii,maximum_inflorescence_width,5mm;6mm
306,Carex_davidii,maximum_leaf_width,5mm
307,Carex_davidii,maximum_plant_height,65cm
308,Carex_dayuongensis,maximum_inflorescence_width,
309,Carex_dayuongensis,maximum_leaf_width,2mm
310,Carex_dayuongensis,maximum_plant_height,30cm
311,Carex_deciduisquama,maximum_leaf_width,7mm
312,Carex_deciduisquama,maximum_plant_height,1m
313,Carex_delavayi,maximum_inflorescence_width,
314,Carex_delavayi,maximum_leaf_width,5mm
315,Carex_delavayi,maximum_plant_height,30cm
316,Carex_densicaespitosa,maximum_inflorescence_length,3cm
317,Carex_densicaespitosa,maximum_plant_height,55cm
318,Carex_densifimbriata,maximum_leaf_width,4.5cm
319,Carex_densifimbriata,maximum_plant_height,80cm
320,Carex_densipilosa,maximum_inflorescence_length,2cm;40mm
321,Carex_densipilosa,maximum_inflorescence_width,0.25cm;4mm
322,Carex_densipilosa,maximum_leaf_width,12mm
323,Carex_densipilosa,maximum_plant_height,35cm
324,Carex_deqinensis,maximum_leaf_width,3mm
325,Carex_deqinensis,maximum_plant_height,80cm
326,Carex_diandra,maximum_inflorescence_length,3.5cm
327,Carex_diandra,maximum_leaf_width,3mm
328,Carex_diandra,maximum_plant_height,90cm;45cm
329,Carex_dichroa,maximum_inflorescence_length,2.5cm
330,Carex_dichroa,maximum_inflorescence_width,0.8cm
331,Carex_dichroa,maximum_plant_height,50cm
332,Carex_dickinsii,maximum_inflorescence_length,2cm
333,Carex_dickinsii,maximum_inflorescence_width,
334,Carex_dickinsii,maximum_leaf_width,8mm
335,Carex_dickinsii,maximum_plant_height,70cm
336,Carex_dielsiana,maximum_leaf_width,
337,Carex_dielsiana,maximum_plant_height,60cm
338,Carex_dimorpholepis,maximum_inflorescence_length,55mm
339,Carex_dimorpholepis,maximum_inflorescence_width,6mm
340,Carex_dimorpholepis,maximum_leaf_width,7mm
341,Carex_dimorpholepis,maximum_plant_height,80cm
342,Carex_diplodon,maximum_leaf_width,5mm
343,Carex_diplodon,maximum_plant_height,22cm
344,Carex_dispalata,maximum_leaf_width,8mm
345,Carex_dispalata,maximum_plant_height,80cm
346,Carex_disperma,maximum_leaf_width,1.5mm
347,Carex_disperma,maximum_plant_height,50cm
348,Carex_doisutepensis,maximum_inflorescence_length,8mm
349,Carex_doisutepensis,maximum_inflorescence_width,5mm
350,Carex_doisutepensis,maximum_leaf_width,4mm
351,Carex_doisutepensis,maximum_plant_height,150cm
352,Carex_dolichostachya,maximum_inflorescence_length,50mm;40mm
353,Carex_dolichostachya,maximum_inflorescence_width,2mm;3mm
354,Carex_dolichostachya,maximum_leaf_width,10mm;10mm;5mm
355,Carex_dolichostachya,maximum_plant_height,60cm
356,Carex_doniana,maximum_leaf_width,12mm
357,Carex_doniana,maximum_plant_height,60cm
358,Carex_drepanorhyncha,maximum_inflorescence_length,5cm;5cm
359,Carex_drepanorhyncha,maximum_inflorescence_width,0.5cm;0.5cm
360,Carex_drepanorhyncha,maximum_leaf_width,5mm
361,Carex_drepanorhyncha,maximum_plant_height,45cm
362,Carex_drymophila,maximum_leaf_width,10mm;6mm;6mm;10mm;8mm
363,Carex_drymophila,maximum_plant_height,100cm;70cm;70cm;100cm
364,Carex_duriuscula,maximum_inflorescence_length,15mm
365,Carex_duriuscula,maximum_inflorescence_width,
366,Carex_duriuscula,maximum_leaf_width,1.5mm
367,Carex_duriuscula,maximum_plant_height,20cm
368,Carex_duthiei,maximum_inflorescence_length,15mm
369,Carex_duthiei,maximum_inflorescence_width,5mm
370,Carex_duthiei,maximum_leaf_width,5mm
371,Carex_duthiei,maximum_plant_height,25cm
372,Carex_duvaliana,maximum_inflorescence_length,22mm;20mm
373,Carex_duvaliana,maximum_inflorescence_width,3mm;3mm
374,Carex_duvaliana,maximum_leaf_width,3mm
375,Carex_duvaliana,maximum_plant_height,35cm
376,Carex_earistata,maximum_inflorescence_length,4.5cm
377,Carex_earistata,maximum_inflorescence_width,1.5cm
378,Carex_earistata,maximum_leaf_width,5mm
379,Carex_earistata,maximum_plant_height,55cm
380,Carex_echinochloiformis,maximum_inflorescence_length,13cm
381,Carex_echinochloiformis,maximum_leaf_width,5mm
382,Carex_echinochloiformis,maximum_plant_height,90cm
383,Carex_eleusinoides,maximum_inflorescence_length,25mm
384,Carex_eleusinoides,maximum_inflorescence_width,
385,Carex_eleusinoides,maximum_leaf_width,4mm
386,Carex_eleusinoides,maximum_plant_height,40cm
387,Carex_eminens,maximum_inflorescence_length,
388,Carex_eminens,maximum_leaf_width,8mm
389,Carex_eminens,maximum_plant_height,120cm
390,Carex_enervis,maximum_inflorescence_length,2cm
391,Carex_enervis,maximum_inflorescence_width,1.4cm
392,Carex_enervis,maximum_leaf_width,3mm
393,Carex_enervis,maximum_plant_height,30cm
394,Carex_ensifolia,maximum_inflorescence_length,20mm
395,Carex_ensifolia,maximum_inflorescence_width,5mm
396,Carex_ensifolia,maximum_leaf_width,3mm
397,Carex_ensifolia,maximum_plant_height,60cm
398,Carex_ereica,maximum_leaf_width,8mm
399,Carex_ereica,maximum_plant_height,85cm
400,Carex_eremopyroides,maximum_leaf_width,3mm
401,Carex_eremopyroides,maximum_plant_height,25cm
402,Carex_eriophylla,maximum_leaf_width,8mm
403,Carex_eriophylla,maximum_plant_height,100cm
404,Carex_erythrobasis,maximum_plant_height,25cm
405,Carex_esquiroliana,maximum_inflorescence_length,4cm;4cm
406,Carex_esquiroliana,maximum_inflorescence_width,0.3cm
407,Carex_esquiroliana,maximum_leaf_width,2.5cm
408,Carex_esquiroliana,maximum_plant_height,
409,Carex_fargesii,maximum_inflorescence_length,80mm;90mm
410,Carex_fargesii,maximum_inflorescence_width,6mm
411,Carex_fargesii,maximum_leaf_width,1.2cm
412,Carex_fargesii,maximum_plant_height,95cm;5mm
413,Carex_fastigiata,maximum_leaf_width,9mm
414,Carex_fastigiata,maximum_plant_height,50cm
415,Carex_fedia,maximum_leaf_width,4mm
416,Carex_fedia,maximum_plant_height,75cm
417,Carex_filicina,maximum_leaf_width,14mm
418,Carex_filicina,maximum_plant_height,90cm
419,Carex_filipedunculata,maximum_inflorescence_width,
420,Carex_filipedunculata,maximum_leaf_width,7mm
421,Carex_filipedunculata,maximum_plant_height,60cm
422,Carex_filipes,maximum_leaf_width,8mm;8mm;3mm
423,Carex_filipes,maximum_plant_height,55cm
424,Carex_finitima,maximum_inflorescence_length,
425,Carex_finitima,maximum_leaf_width,8mm
426,Carex_finitima,maximum_plant_height,35cm;80cm;80cm
427,Carex_fluviatilis,maximum_inflorescence_length,3.5cm
428,Carex_fluviatilis,maximum_inflorescence_width,1.3cm
429,Carex_fluviatilis,maximum_plant_height,70cm
430,Carex_foraminata,maximum_inflorescence_length,80mm;80mm
431,Carex_foraminata,maximum_inflorescence_width,5mm;5mm
432,Carex_foraminata,maximum_leaf_width,7mm
433,Carex_foraminata,maximum_plant_height,70cm
434,Carex_foraminatiformis,maximum_inflorescence_length,60mm
435,Carex_foraminatiformis,maximum_inflorescence_width,2mm
436,Carex_foraminatiformis,maximum_leaf_width,12mm
437,Carex_foraminatiformis,maximum_plant_height,40cm
438,Carex_forficula,maximum_plant_height,90cm
439,Carex_forrestii,maximum_leaf_width,3mm
440,Carex_forrestii,maximum_plant_height,25cm
441,Carex_fulvorubescens,maximum_leaf_width,5mm;5mm;3mm
442,Carex_fulvorubescens,maximum_plant_height,35cm
443,Carex_funhuangshanica,maximum_inflorescence_length,
444,Carex_funhuangshanica,maximum_inflorescence_width,
445,Carex_funhuangshanica,maximum_leaf_width,4mm
446,Carex_funhuangshanica,maximum_plant_height,26cm
447,Carex_funingensis,maximum_inflorescence_length,
448,Carex_funingensis,maximum_inflorescence_width,
449,Carex_funingensis,maximum_leaf_width,9mm
450,Carex_funingensis,maximum_plant_height,40cm
451,Carex_gentilis,maximum_inflorescence_length,
452,Carex_gentilis,maximum_leaf_width,3mm;2mm;4.5mm;3mm;3mm
453,Carex_gentilis,maximum_plant_height,70cm
454,Carex_gibba,maximum_inflorescence_length,8cm;12mm
455,Carex_gibba,maximum_inflorescence_width,5mm
456,Carex_gibba,maximum_leaf_width,4mm
457,Carex_gibba,maximum_plant_height,60cm
458,Carex_giraldiana,maximum_leaf_width,5mm
459,Carex_giraldiana,maximum_plant_height,30cm
460,Carex_glabrescens,maximum_leaf_width,4mm
461,Carex_glabrescens,maximum_plant_height,50cm
462,Carex_glauciformis,maximum_leaf_width,3mm
463,Carex_glauciformis,maximum_plant_height,70cm
464,Carex_globistylosa,maximum_inflorescence_width,
465,Carex_globistylosa,maximum_leaf_width,2mm
466,Carex_globistylosa,maximum_plant_height,60cm
467,Carex_globularis,maximum_leaf_width,2mm
468,Carex_globularis,maximum_plant_height,60cm
469,Carex_glossostigma,maximum_leaf_width,2.5cm
470,Carex_glossostigma,maximum_plant_height,40cm
471,Carex_gmelinii,maximum_leaf_width,7mm
472,Carex_gmelinii,maximum_plant_height,60cm
473,Carex_goligongshanensis,maximum_inflorescence_length,30mm
474,Carex_goligongshanensis,maximum_inflorescence_width,6mm
475,Carex_goligongshanensis,maximum_leaf_width,5mm
476,Carex_goligongshanensis,maximum_plant_height,60cm
477,Carex_gonggaensis,maximum_inflorescence_length,30mm
478,Carex_gonggaensis,maximum_inflorescence_width,2mm
479,Carex_gonggaensis,maximum_leaf_width,2mm
480,Carex_gonggaensis,maximum_plant_height,35cm
481,Carex_gongshanensis,maximum_leaf_width,3mm
482,Carex_gongshanensis,maximum_plant_height,80cm
483,Carex_gotoi,maximum_inflorescence_length,3.5cm
484,Carex_gotoi,maximum_inflorescence_width,0.6cm
485,Carex_gotoi,maximum_leaf_width,3mm
486,Carex_gotoi,maximum_plant_height,70cm
487,Carex_grallatoria,maximum_inflorescence_length,1.5mm;2cm
488,Carex_grallatoria,maximum_inflorescence_width,
489,Carex_grallatoria,maximum_leaf_width,3mm
490,Carex_grallatoria,maximum_plant_height,20cm
491,Carex_graminiculmis,maximum_inflorescence_length,20mm;25mm
492,Carex_graminiculmis,maximum_inflorescence_width,9mm;8mm
493,Carex_graminiculmis,maximum_leaf_width,5mm
494,Carex_graminiculmis,maximum_plant_height,70cm
495,Carex_grandiligulata,maximum_leaf_width,2mm;4mm
496,Carex_grandiligulata,maximum_plant_height,30cm
497,Carex_gynocrates,maximum_inflorescence_length,1.8cm
498,Carex_gynocrates,maximum_inflorescence_width,
499,Carex_gynocrates,maximum_leaf_width,
500,Carex_gynocrates,maximum_plant_height,30cm
501,Carex_haematostoma,maximum_leaf_width,3mm
502,Carex_haematostoma,maximum_plant_height,70cm
503,Carex_hancockiana,maximum_leaf_width,5mm
504,Carex_hancockiana,maximum_plant_height,80cm
505,Carex_handelii,maximum_inflorescence_length,
506,Carex_handelii,maximum_leaf_width,2mm
507,Carex_handelii,maximum_plant_height,25cm
508,Carex_hangzhouensis,maximum_inflorescence_length,8cm
509,Carex_hangzhouensis,maximum_inflorescence_width,1.7cm
510,Carex_hangzhouensis,maximum_leaf_width,4mm
511,Carex_hangzhouensis,maximum_plant_height,60cm
512,Carex_harlandii,maximum_inflorescence_length,9cm
513,Carex_harlandii,maximum_inflorescence_width,1.3cm
514,Carex_harlandii,maximum_leaf_width,2.2cm
515,Carex_harlandii,maximum_plant_height,90cm
516,Carex_harrysmithii,maximum_leaf_width,2mm
517,Carex_harrysmithii,maximum_plant_height,20cm
518,Carex_hastata,maximum_inflorescence_length,
519,Carex_hastata,maximum_inflorescence_width,7mm
520,Carex_hastata,maximum_leaf_width,6mm
521,Carex_hastata,maximum_plant_height,40cm
522,Carex_hattoriana,maximum_leaf_width,5mm
523,Carex_hattoriana,maximum_plant_height,100cm
